"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Acura","ILX","Automóviles","De Lujo","IMPORTADO",66,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,19
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Acura","NSX","Automóviles","Deportivos","IMPORTADO",66,0
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,67
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Alfa Romeo","Giulia","Automóviles","De Lujo","IMPORTADO",124,2
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Alfa Romeo","Stelvio","Automóviles","De Lujo","IMPORTADO",124,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","A1*","Automóviles","De Lujo","IMPORTADO",64,39
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,55
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,20
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","A5 Coupe","Automóviles","De Lujo","IMPORTADO",4,6
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","A5 Sportback","Automóviles","Deportivos","IMPORTADO",4,16
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","e-tron","Camiones ligeros","SUV's","IMPORTADO",23,4
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","Q 3","Camiones ligeros","SUV's","IMPORTADO",94,89
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","Q2","Automóviles","De Lujo","IMPORTADO",62,16
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","Q3 SB","Camiones ligeros","SUV's","IMPORTADO",94,143
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2022,"01","Audi","Q5","Camiones ligeros","SUV's","NACIONAL",1,104
